YEAR,Mean,TotalPrecip,PctChange
2006,2.5051546391752577,897.80206185567,
2007,1.288659793814433,461.5556701030927,-48.59048673277695
2008,1.402061855670103,503.3474226804122,9.054542124460285
2009,1.2783505154639174,459.3216494845361,-8.746597521336497
2010,0.8865979381443299,320.87525773195875,-30.141490588990493
2011,1.2577319587628866,450.2855670103092,40.33041070011467
2012,1.2989690721649485,468.74536082474214,4.099574840250275
2013,1.8041237113402062,648.3072164948456,38.30690832953958
2014,1.5876288659793814,568.8659793814434,-12.25364072652334
2015,1.4329896907216495,515.5051546391753,-9.380210221094599
2016,2.154639175257732,773.5443298969071,50.05559555235577
2017,1.5051546391752577,539.080412371134,-30.310340140043547
2018,1.5051546391752577,540.2164948453608,0.21074452867426707
2019,2.536082474226804,909.1690721649483,68.29716990133774
2020,1.8865979381443299,678.0639175257731,-25.41938146761401
2021,1.309278350515464,470.59896907216506,-30.596665460483287
2022,2.5876288659793816,927.5989690721649,97.11028498447902
2023,0.8041237113402062,288.0659793814433,-68.94498711338774
2024,1.268041237113402,455.7020618556701,58.19364120476407
2025,1.288659793814433,461.69381443298994,1.3148399094181862
2026,1.5463917525773196,554.0865979381445,20.01170052897998
2027,2.3711340206185567,849.0237113402063,53.229425598737755
2028,0.9072164948453608,328.3237113402062,-61.32926478320157
2029,1.1237113402061856,404.9979381443299,23.35324076690719
2030,1.9793814432989691,710.9422680412372,75.54219443652508
2031,1.7010309278350515,610.176288659794,-14.173581162795411
2032,1.8556701030927836,666.2185567010312,9.184602725931846
2033,1.8144329896907216,652.417525773196,-2.071547060498413
2034,1.175257731958763,423.4309278350516,-35.09816779780199
2035,0.979381443298969,351.3216494845363,-17.029761788823706
2036,1.577319587628866,567.9824742268041,61.67021732368485
2037,1.7938144329896908,643.8814432989693,13.362906870583746
2038,1.1134020618556701,400.5886597938143,-37.78533859566262
2039,1.865979381443299,671.0680412371133,67.52047888288115
2040,1.4329896907216495,515.0206185567012,-23.253591750955525
2041,1.2164948453608246,437.06391752577326,-15.136617491042303
2042,1.2783505154639174,458.29484536082487,4.857625391553766
2043,1.6597938144329898,596.6886597938145,30.19754985985701
2044,1.3711340206185567,492.66907216494855,-17.432807867474786
2045,1.4742268041237114,529.1525773195874,7.405276120605353
2046,1.577319587628866,567.2824742268037,7.2058416686473725
2047,1.4536082474226804,522.1546391752577,-7.955090647398288
2048,1.2989690721649485,469.85154639175255,-10.016782167466287
2049,1.9381443298969072,696.0731958762885,48.14747364818015
2050,1.2577319587628866,453.4432989690719,-34.856951588513496
2051,1.3711340206185567,492.3453608247423,8.579256093124844
2052,0.7835051546391752,282.3278350515466,-42.65654609223678
2053,1.3402061855670102,483.18144329896893,71.14197868968573
2054,1.8865979381443299,677.3288659793817,40.18105938730845
2055,1.0206185567010309,368.9072164948454,-45.534992671333285
2056,1.7628865979381443,633.4175257731958,71.70103957075786
2057,1.5257731958762886,546.6721649484538,-13.694815393504356
2058,1.1649484536082475,418.5072164948454,-23.44457184237525
2059,0.9381443298969072,337.78041237113393,-19.289226312470465
2060,1.175257731958763,423.3969072164945,25.34679090606653
2061,1.1546391752577319,416.8865979381446,-1.5376374194960851
2062,1.0515463917525774,379.20206185567014,-9.039517285721399
2063,1.6701030927835052,598.3649484536085,57.79580562548601
2064,1.0206185567010309,369.4268041237115,-38.26062086717411
2065,1.4948453608247423,535.3000000000001,44.900151809434455
2066,1.309278350515464,471.75567010309265,-11.8707883237264
2067,1.5876288659793814,569.3865979381445,20.69523145608756
2068,1.092783505154639,393.121649484536,-30.956989344655618
2069,1.0,360.26804123711355,-8.35710988964875
2070,1.5670103092783505,563.39381443299,56.38184627711327
2071,1.958762886597938,704.659793814433,25.074109044597105
2072,0.7525773195876289,270.37835051546404,-61.62994499063669
2073,1.6494845360824741,592.6680412371132,119.1995180484009
2074,1.2474226804123711,449.7432989690719,-24.115479884777592
2075,1.5670103092783505,561.6597938144329,24.884527485323883
2076,0.6391752577319587,232.82371134020624,-58.547199941263905
2077,1.1855670103092784,427.9876288659794,83.82476011672027
2078,1.7628865979381443,633.4164948453607,47.998785975122104
2079,0.5463917525773195,197.69175257731962,-68.7896109138138
2080,1.3917525773195876,502.33505154639175,154.1001559232586
2081,2.082474226804124,745.6092783505152,48.42867843986327
2082,0.9278350515463918,333.3855670103093,-55.28682693597291
2083,1.8350515463917525,660.2309278350517,98.03824555327418
2084,1.1855670103092784,427.37835051546375,-35.26835346582893
2085,1.1958762886597938,428.58556701030903,0.28247020313247884
2086,0.9072164948453608,327.9319587628866,-23.485067159296413
2087,0.8144329896907216,293.5845360824742,-10.473947952492047
2088,1.1443298969072164,411.1659793814432,40.05028495981065
2089,1.7938144329896908,642.8587628865982,56.350183411018804
2090,1.309278350515464,470.77628865979375,-26.76831742233873
2091,1.0618556701030928,381.02886597938164,-19.063709205895897
2092,2.216494845360825,798.8072164948451,109.6448032727448
2093,1.1546391752577319,414.1247422680413,-48.15711053723138
2094,1.3814432989690721,496.35257731958785,19.855813154560266
2095,1.2989690721649485,467.89793814433006,-5.732747340392397
2096,0.7835051546391752,284.1020618556702,-39.28118961532275
2097,0.6185567010309279,223.2072164948453,-21.434144111126063
2098,0.8041237113402062,289.3886597938144,29.65022562364037
2099,1.4639175257731958,524.7793814432988,81.3406861959267
2100,1.6494845360824741,592.0371134020619,12.816382338380826
